Pos Exato Numerico
0.88944724 0.00000000 0.00207377
0.89447236 0.00000000 0.00116675
0.89949749 0.00000000 0.00063419
0.90452261 0.00000000 0.00033265
0.90954774 0.00000000 0.00016817
0.91457286 0.00000000 0.00008184
0.91959799 0.00000000 0.00003829
0.92462312 0.00000000 0.00001720
0.92964824 0.00000000 0.00000740
0.93467337 0.00000000 0.00000305
0.93969849 0.00000000 0.00000121
0.94472362 0.00000000 0.00000047
0.94974874 0.00000000 0.00000019
0.95477387 0.00000000 0.00000010
0.95979899 0.00000000 0.00000009
0.96482412 0.00000000 0.00000012
0.96984925 0.00000000 0.00000019
0.97487437 0.00000000 0.00000030
0.97989950 0.00000000 0.00000047
0.98492462 0.00000000 0.00000072
0.98994975 0.00000000 0.00000112
0.99497487 0.00000000 0.00000171
1.00000000 0.00000000 0.00000260
