Pos Exato Numerico
0.676 0.0431752 0.0764861
0.68 0.0525748 0.0899679
0.684 0.063614 0.105253
0.688 0.0764821 0.122467
0.692 0.0913688 0.141724
0.696 0.10846 0.163118
0.7 0.127929 0.186724
0.704 0.149935 0.212585
0.708 0.174609 0.240713
0.712 0.202052 0.271081
0.716 0.232323 0.303621
0.72 0.265431 0.338216
0.724 0.30133 0.374703
0.728 0.339911 0.412866
0.732 0.380995 0.452438
0.736 0.424332 0.493101
0.74 0.469595 0.534489
0.744 0.516383 0.576191
0.748 0.564226 0.617756
0.752 0.612584 0.658705
0.756 0.66086 0.698531
0.76 0.70841 0.736718
0.764 0.754557 0.772746
0.768 0.798603 0.806102
0.772 0.839849 0.836297
0.776 0.877613 0.862874
0.78 0.911248 0.88542
0.784 0.94016 0.903577
0.788 0.963826 0.917052
0.792 0.981809 0.925624
0.796 0.993772 0.929151
0.8 0.99949 0.927571
0.804 0.998853 0.92091
0.808 0.991874 0.909274
0.812 0.978685 0.89285
0.816 0.959535 0.871903
0.82 0.934782 0.846762
0.824 0.904881 0.817821
0.828 0.870371 0.78552
0.832 0.831857 0.750339
0.836 0.789995 0.712783
0.84 0.745473 0.673374
0.844 0.698991 0.632635
0.848 0.651241 0.59108
0.852 0.602899 0.549206
0.856 0.554598 0.50748
0.86 0.506925 0.466332
0.864 0.460406 0.426152
0.868 0.415499 0.38728
0.872 0.372589 0.350006
0.876 0.331988 0.314568
0.88 0.293931 0.281153
0.884 0.258584 0.249895
0.888 0.226041 0.22088
0.892 0.196339 0.194152
0.896 0.169456 0.169711
0.9 0.145324 0.147523
0.904 0.123837 0.127524
0.908 0.104857 0.109624
0.912 0.088221 0.0937123
0.916 0.073753 0.0796648
0.92 0.061266 0.0673462
0.924 0.0505697 0.0566155
0.928 0.0414757 0.0473296
0.932 0.0338008 0.0393462
0.936 0.0273712 0.0325272
0.94 0.0220237 0.02674
0.944 0.0176084 0.0218598
0.948 0.0139888 0.0177706
0.952 0.0110427 0.0143656
0.956 0.00866158 0.0115482
0.96 0.00675076 0.00923144
0.964 0.00522805 0.00733821
0.968 0.00402308 0.00580062
0.972 0.00307616 0.00455955
0.976 0.00233717 0.00356395
0.98 0.00176443 0.00277015
0.984 0.00132358 0.00214112
0.988 0.000986567 0.00164573
0.992 0.000730693 0.00125805
0.996 0.000537743 0.000956763
1 0.00039323 0.000724599
1.004 0.000285726 0.00054805
1.008 0.000206293 0.000417321
1.012 0.000147996 0.000326785
1.016 0.000105499 0.000276249
1.02 7.47271e-05 0.000273502
1.024 5.25944e-05 0.000338857
1.028 3.67817e-05 0.000512639
1.032 2.55597e-05 0.000866752
1.036 1.76487e-05 0.00152147
1.04 1.21088e-05 0.00266831
1.044 8.25504e-06 0.00459888
1.048 5.59204e-06 0.00773793
1.052 3.76402e-06 0.0126765
1.056 2.51748e-06 0.0201974
1.06 1.67306e-06 0.0312836
1.064 1.10481e-06 0.0470951
1.068 7.24933e-07 0.0689053
1.072 4.72648e-07 0.0979863
1.076 3.06203e-07 0.135447
1.08 1.97112e-07 0.182037
1.084 1.26081e-07 0.237946
1.088 8.01338e-08 0.302633
1.092 5.06074e-08 0.374744
1.096 3.17573e-08 0.452132
1.1 1.98018e-08 0.532015
1.104 1 0.61126
1.108 1 0.686731
1.112 1 0.755665
1.116 1 0.815983
1.12 1 0.866481
1.124 1 0.90688
1.128 1 0.937718
1.132 1 0.960147
1.136 1 0.975661
1.14 1 0.985849
1.144 1 0.992189
1.148 1 0.995918
1.152 1 0.997986
1.156 1 0.999066
1.16 1 0.999594
1.164 1 0.999835
1.168 1 0.999938
1.172 1 0.999978
1.176 1 0.999993
1.18 1 0.999998
1.184 1 0.999999
1.188 1 1
1.192 1 1
1.196 1 0.999999
1.2 1 0.999998
1.204 1 0.999995
1.208 1 0.999988
1.212 1 0.999975
1.216 1 0.999946
1.22 1 0.99989
1.224 1 0.999781
1.228 1 0.999574
1.232 1 0.999196
1.236 1 0.998524
1.24 1 0.997364
1.244 1 0.995424
1.248 1 0.992278
1.252 1 0.987335
1.256 1 0.97981
1.26 1 0.968722
1.264 1 0.952909
1.268 1 0.931097
1.272 1 0.902015
1.276 1 0.864554
1.28 1 0.817963
1.284 1 0.762055
1.288 1 0.697367
1.292 1 0.625256
1.296 1 0.547869
1.3 1 0.467985
1.304 1.45796e-22 0.38874
1.308 6.52606e-23 0.313269
1.312 2.9026e-23 0.244335
1.316 1.28279e-23 0.184017
1.32 5.6332e-24 0.133519
1.324 2.45803e-24 0.0931203
1.328 1.06573e-24 0.0622816
1.332 4.59138e-25 0.0398535
1.336 1.96548e-25 0.0243393
1.34 8.3604e-26 0.0141509
1.344 3.53359e-26 0.00781139
1.348 1.48401e-26 0.00408229
1.352 6.19283e-27 0.00201359
1.356 2.56787e-27 0.000934275
1.36 1.05801e-27 0.000406262
1.364 4.33148e-28 0.000164885
1.368 1.76204e-28 6.2171e-05
1.372 7.12238e-29 2.16642e-05
1.376 2.86067e-29 6.9344e-06
1.38 1.14167e-29 2.02449e-06
1.384 4.52737e-30 5.34581e-07
1.388 1.78395e-30 1.26387e-07
1.392 6.98475e-31 2.64217e-08
1.396 2.71738e-31 4.80749e-09
1.4 1.05047e-31 7.45763e-10
1.404 4.03502e-32 9.58856e-11
1.408 1.54007e-32 9.80919e-12
1.412 5.84072e-33 7.4851e-13
1.416 2.20102e-33 3.78691e-14
1.42 8.24165e-34 9.52682e-16
1.424 3.06645e-34 7.56677e-31
1.428 1.13367e-34 3.08673e-31
1.432 4.16459e-35 1.25178e-31
1.436 1.52016e-35 5.04664e-32
1.44 5.51361e-36 2.02263e-32
1.444 1.98708e-36 8.0588e-33
1.448 7.11584e-37 3.19201e-33
1.452 2.53203e-37 1.25688e-33
1.456 8.95246e-38 4.91999e-34
1.46 3.1452e-38 1.91457e-34
1.464 1.09796e-38 7.40647e-35
1.468 3.8085e-39 2.84831e-35
1.472 1.31267e-39 1.08892e-35
1.476 4.49558e-40 4.13846e-36
1.48 1.52985e-40 1.56355e-36
1.484 5.17303e-41 5.87243e-37
1.488 1.73809e-41 2.19257e-37
1.492 5.8027e-42 8.138e-38
1.496 1.92495e-42 3.00269e-38
1.5 6.34514e-43 1.10136e-38
1.504 2.07823e-43 4.01584e-39
1.508 6.76362e-44 1.45562e-39
1.512 2.18724e-44 5.245e-40
1.516 7.02819e-45 1.87874e-40
1.52 2.244e-45 6.68975e-41
1.524 7.11925e-46 2.36796e-41
1.528 2.24428e-46 8.33224e-42
1.532 7.02994e-47 2.91453e-42
1.536 2.18805e-47 1.01343e-42
1.54 6.76698e-48 3.503e-43
1.544 2.07952e-48 1.20366e-43
1.548 6.34987e-49 4.11133e-44
1.552 1.92663e-49 1.39597e-44
1.556 5.80846e-50 4.71181e-45
1.56 1.74003e-50 1.58093e-45
1.564 5.17945e-51 5.2729e-46
1.568 1.53194e-51 1.74824e-46
1.572 4.50229e-52 5.76185e-47
1.576 1.31479e-52 1.88771e-47
1.58 3.81512e-53 6.14776e-48
1.584 1.1e-53 1.99026e-48
1.588 3.15145e-54 6.40485e-49
1.592 8.97137e-55 2.04888e-49
1.596 2.53769e-55 6.51524e-50
1.6 7.13264e-56 2.05944e-50
1.604 1.99202e-56 6.47104e-51
